NhiNumber,PatientName,DateOfBirth,PatientEmail,PatientPhone,Gender,SpecialistType,Reason,Urgency,Status,ReceivedAt,AssignedToEmail,ReferringGpEmail,LegacyCaseNo
M200001,Mia Reid,1943-04-04,m2.1@example.com,+64 22 2000001,Female,Orthopedics,Shoulder dislocation,Urgent,Declined,2025-02-02T09:07:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000001
M200002,Jack Singh,1944-05-05,m2.2@example.com,+64 22 2000002,Male,Neurology,Parkinsonism features,Routine,Booked,2025-03-03T10:14:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000002
M200003,Ava Green,1945-06-06,m2.3@example.com,+64 22 2000003,Female,Dermatology,Chronic urticaria,SemiUrgent,Completed,2025-04-04T11:21:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000003
M200004,William Clarke,1946-07-07,m2.4@example.com,+64 22 2000004,Male,Oncology,Abnormal imaging mass,Urgent,Received,2025-05-05T12:28:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000004
M200005,Charlotte Hughes,1947-08-08,m2.5@example.com,+64 22 2000005,Female,Gastroenterology,Iron deficiency anaemia,Routine,Triaged,2025-06-06T13:35:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000005
M200006,James Russell,1948-09-09,m2.6@example.com,+64 22 2000006,Male,Ophthalmology,Diabetic retinopathy,SemiUrgent,Accepted,2025-07-07T14:42:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000006
M200007,Harper Reed,1949-10-10,m2.7@example.com,+64 22 2000007,Female,Pulmonology,Hemoptysis investigation,Urgent,Declined,2025-08-08T15:49:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000007
M200008,Lucas Bennett,1950-11-11,m2.8@example.com,+64 22 2000008,Male,Cardiology,Heart failure optimisation,Routine,Booked,2025-09-09T16:56:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000008
M200009,Ella Reid,1951-12-12,m2.9@example.com,+64 22 2000009,Female,Orthopedics,Back pain with sciatica,SemiUrgent,Completed,2025-10-10T17:03:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000009
M200010,Benjamin Singh,1952-01-13,m2.10@example.com,+64 22 2000010,Male,Neurology,Recurrent migraines,Urgent,Received,2025-11-11T08:10:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000010
M200011,Grace Green,1953-02-14,m2.11@example.com,+64 22 2000011,Female,Dermatology,Widespread eczema,Routine,Triaged,2025-12-12T09:17:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000011
M200012,Henry Clarke,1954-03-15,m2.12@example.com,+64 22 2000012,Male,Oncology,Suspected malignancy,SemiUrgent,Accepted,2025-01-13T10:24:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000012
M200013,Ruby Hughes,1955-04-16,m2.13@example.com,+64 22 2000013,Female,Gastroenterology,IBD flare review,Urgent,Declined,2025-02-14T11:31:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000013
M200014,Oscar Russell,1956-05-17,m2.14@example.com,+64 22 2000014,Male,Ophthalmology,Red eye persistent,Routine,Booked,2025-03-15T12:38:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000014
M200015,Zoe Reed,1957-06-18,m2.15@example.com,+64 22 2000015,Female,Pulmonology,Chronic cough 3 months,SemiUrgent,Completed,2025-04-16T13:45:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000015
M200016,Leo Bennett,1958-07-19,m2.16@example.com,+64 22 2000016,Male,Cardiology,Palpitations with syncope,Urgent,Received,2025-05-17T14:52:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000016
M200017,Lily Reid,1959-08-20,m2.17@example.com,+64 22 2000017,Female,Orthopedics,Hip osteoarthritis,Routine,Triaged,2025-06-18T15:59:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000017
M200018,Finn Singh,1960-09-21,m2.18@example.com,+64 22 2000018,Male,Neurology,TIA symptoms,SemiUrgent,Accepted,2025-07-19T16:06:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000018
M200019,Chloe Green,1961-10-22,m2.19@example.com,+64 22 2000019,Female,Dermatology,Acne refractory,Urgent,Declined,2025-08-20T17:13:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000019
M200020,Archie Clarke,1962-11-23,m2.20@example.com,+64 22 2000020,Male,Oncology,Breast lump assessment,Routine,Booked,2025-09-21T08:20:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000020
M200021,Emily Hughes,1963-12-24,m2.21@example.com,+64 22 2000021,Female,Gastroenterology,Rectal bleeding,SemiUrgent,Completed,2025-10-22T09:27:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000021
M200022,George Russell,1964-01-25,m2.22@example.com,+64 22 2000022,Male,Ophthalmology,Cataract affecting driving,Urgent,Received,2025-11-23T10:34:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000022
